Customer ID,Invoice,Quantity,TotalPrice,Cluster
12346.0,11,70,372.86,0
12347.0,2,828,1323.32,0
12348.0,1,373,222.16,0
12349.0,3,993,2671.14,0
12351.0,1,261,300.93,0
12352.0,2,188,343.8,0
12353.0,1,192,317.76,0
12355.0,1,303,488.21000000000004,0
12356.0,3,1826,3562.25,0
12357.0,2,3879,12079.99,0
12358.0,3,831,2719.01,0
12359.0,6,1130,2563.36,0
12360.0,5,1294,1590.83,0
12361.0,3,144,321.35,0
12362.0,1,1,130.0,0
12366.0,1,296,500.24,0
12368.0,1,330,917.6999999999999,0
12369.0,3,1241,1791.15,0
12370.0,3,252,774.62,0
12371.0,3,845,2179.42,0
12373.0,2,319,763.0500000000001,0
12374.0,3,1020,2246.29,0
12376.0,2,240,503.15,0
12377.0,2,1161,1798.2,0
12378.0,1,787,1407.7,0
12379.0,2,408,767.98,0
12380.0,7,2228,6951.49,0
12385.0,1,612,1938.4,0
12386.0,1,214,258.9,0
12387.0,1,134,143.94,0
12388.0,2,539,1120.45,0
12389.0,3,614,1433.33,0
12391.0,5,920,2312.53,0
12392.0,1,73,234.75000000000003,0
12393.0,2,495,816.85,0
12395.0,4,1615,2048.64,0
12396.0,1,591,931.43,0
12399.0,3,1020,853.65,0
12400.0,1,91,205.25,0
12402.0,5,490,1031.3,0
12403.0,1,164,591.6600000000001,0
12404.0,1,1,63.24,0
12406.0,3,1598,2975.06,0
12408.0,3,820,1452.22,0
12409.0,4,7592,12346.619999999999,0
12410.0,1,130,320.38,0
12411.0,1,138,346.9,0
12412.0,3,1168,1370.05,0
12413.0,1,33,241.35,0
12414.0,3,195,390.0,0
12415.0,7,14073,19543.84,3
12416.0,1,132,202.56,0
12417.0,11,1348,3167.81,0
12418.0,3,681,1352.62,0
12419.0,2,231,503.01,0
12421.0,2,168,291.56,0
12422.0,14,2226,4428.24,3
12423.0,2,454,763.08,0
12424.0,2,1285,1579.07,0
12425.0,1,651,964.21,0
12426.0,1,326,762.48,0
12427.0,1,79,303.5,0
12429.0,5,1787,3735.51,0
12431.0,13,1811,4370.52,3
12433.0,5,6045,7205.39,0
12434.0,1,138,297.29,0
12435.0,4,2903,6096.04,0
12437.0,21,5078,7731.99,3
12439.0,2,484,1158.18,0
12440.0,2,331,859.2,0
12441.0,1,121,173.55,0
12443.0,1,182,485.31,0
12445.0,1,144,301.58000000000004,0
12449.0,2,729,768.6,0
12450.0,3,314,490.32,0
12451.0,3,2784,3634.36,0
12454.0,4,6697,13151.44,0
12455.0,4,1213,3413.09,0
12457.0,1,251,632.68,0
12458.0,2,480,830.09,0
12459.0,1,258,454.36,0
12460.0,1,170,326.65,0
12466.0,1,1,56.73,0
12467.0,1,129,132.8,0
12468.0,3,1835,2941.2,0
12469.0,2,2552,3070.54,0
12470.0,1,95,211.95,0
12471.0,49,8679,20139.739999999998,3
12472.0,13,7202,11308.48,3
12474.0,13,3107,5048.66,3
12475.0,1,236,426.26,0
12476.0,12,3237,7298.99,3
12477.0,3,2466,7056.63,0
12480.0,3,1245,2183.2200000000003,0
12481.0,6,3949,6765.07,0
12482.0,29,27042,23691.4,3
12483.0,11,1062,2635.6,0
12484.0,6,1080,1828.43,0
12485.0,1,414,708.1,0
12486.0,1,523,1037.28,0
12487.0,1,174,285.29999999999995,0
12490.0,11,2842,4405.71,3
12492.0,1,252,452.0,0
12494.0,3,281,626.77,0
12495.0,1,130,357.4,0
12496.0,2,33,54.09,0
12497.0,2,4449,5205.400000000001,0
12499.0,1,302,393.72,0
12500.0,8,699,1697.39,0
12503.0,1,561,1126.0,0
12504.0,2,368,297.0,0
12505.0,1,324,955.2,0
12507.0,1,362,539.25,0
12510.0,7,1696,4195.45,0
12511.0,1,1753,3084.02,0
12514.0,1,400,580.08,0
12516.0,2,1077,1336.56,0
12519.0,1,212,385.7,0
12523.0,12,1410,2582.38,3
12524.0,9,3479,6640.39,0
12525.0,3,509,973.73,0
12527.0,2,292,386.8,0
12529.0,1,192,316.48,0
12530.0,5,1800,2096.98,0
12531.0,1,1074,1807.98,0
12533.0,2,704,1367.89,0
12537.0,1,449,732.94,0
12538.0,1,145,276.5,0
12539.0,3,2468,5646.400000000001,0
12540.0,16,4334,8854.25,3
12542.0,2,522,481.88,0
12543.0,1,688,980.25,0
12547.0,1,175,175.78,0
12549.0,6,1366,1575.68,0
12553.0,2,360,916.47,0
12554.0,1,240,468.5,0
12555.0,1,1,129.23,0
12557.0,4,2398,6725.18,0
12562.0,2,548,1185.18,0
12563.0,1,113,249.24,0
12567.0,7,1781,4308.58,0
12568.0,1,48,70.0,0
12570.0,1,1,77.52,0
